system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Continent,Country,Depth_avg,Dis_avg,Elevation,Grand_id,Hylak_id,Lake_area,Lake_name,Lake_type,Poly_src,Pour_lat,Pour_long,QA_PIXEL,QA_RADSAT,Res_time,SAA,SZA,Shore_dev,Shore_len,Slope_100,VAA,VZA,Vol_res,Vol_src,Vol_total,Wshd_area,.geo
00000000000000000338_0,0.353794,252.83304,253.1806,0.31193507,0.24230671,0.26696333,0.32487774,0.099691436,0.074379474,0.2745815,0.0025393874,Europe,Russia,2.0,0.148,75,0,161356,1.92,,1,SWBD,55.793112,73.884267,30048,0,303.8,16814,7589,1.45,7.13,0.91,11293,653,0.0,3,3.88,237.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.87853314137473,55.795870313122585]}"
00000000000000000338_1,0.35248336,252.87523,253.19316,0.3209458,0.25205466,0.27859536,0.32389477,0.102148905,0.074952886,0.29309446,0.0042596175,Europe,Russia,2.0,0.148,75,0,161356,1.92,,1,SWBD,55.793112,73.884267,30048,0,303.8,16814,7589,1.45,7.13,0.91,11293,653,0.0,3,3.88,237.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.87901154803752,55.79587467547969]}"
00000000000000000338_2,0.38885394,252.8714,253.16803,0.36771968,0.29964772,0.3094776,0.36976758,0.099281855,0.07569013,0.36968565,0.0039319545,Europe,Russia,2.0,0.148,75,0,161356,1.92,,1,SWBD,55.793112,73.884267,30048,0,303.8,16814,7589,1.45,7.13,0.91,11294,652,0.0,3,3.88,237.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.87948995483201,55.79587903597591]}"
00000000000000000338_3,0.4240777,252.84454,253.10938,0.38279217,0.3142287,0.33945873,0.43423524,0.09707013,0.07511672,0.40449983,0.0034404602,Europe,Russia,2.0,0.148,75,0,161356,1.92,,1,SWBD,55.793112,73.884267,30048,0,303.8,16814,7589,1.45,7.13,0.91,11294,652,0.0,3,3.88,237.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.8799683617581,55.79588339461126]}"
00000000000000000338_4,0.4355459,252.83304,253.08003,0.4126914,0.34838757,0.413101,0.46724728,0.088223234,0.07216775,0.45151946,0.0041777017,Europe,Russia,2.0,0.148,75,0,161356,1.92,,1,SWBD,55.793112,73.884267,30048,0,303.8,16814,7589,1.45,7.13,0.91,11294,652,0.0,3,3.88,237.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.88044676881577,55.79588775138573]}"
00000000000000000338_5,0.4632334,252.83687,253.0926,0.46454406,0.39966682,0.45143753,0.50099653,0.0807689,0.069300696,0.42235747,0.0042596175,Europe,Russia,2.0,0.148,75,0,161356,1.92,,1,SWBD,55.793112,73.884267,30048,0,303.8,16814,7589,1.45,7.13,0.91,11295,652,0.0,3,3.88,237.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.88092517600495,55.79589210629931]}"
00000000000000000338_6,0.3309395,252.68707,253.03389,0.30153176,0.23534387,0.25811642,0.3257788,0.11435435,0.0880594,0.2391939,0.0031127974,Europe,Russia,2.0,0.148,75,0,161356,1.92,,1,SWBD,55.793112,73.884267,30304,0,303.8,16814,7589,1.45,7.13,0.91,11291,654,0.0,3,3.88,237.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.87614887187047,55.79557896797283]}"
00000000000000000338_7,0.34461942,252.72935,253.04648,0.31742343,0.2526281,0.2645878,0.33904916,0.1114873,0.085520014,0.29276678,0.0042596175,Europe,Russia,2.0,0.148,75,0,161356,1.92,,1,SWBD,55.793112,73.884267,30048,0,303.8,16814,7589,1.45,7.13,0.91,11292,654,0.0,3,3.88,237.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.87662727457166,55.795583339590316]}"
00000000000000000338_8,0.43030328,252.78697,253.08003,0.40884137,0.3397864,0.3553504,0.44717792,0.0906807,0.07396989,0.40466365,0.003194713,Europe,Russia,2.0,0.148,75,0,161356,1.92,,1,SWBD,55.793112,73.884267,30048,0,303.8,16814,7589,1.45,7.13,0.91,11292,653,0.0,3,3.88,237.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.87710567740478,55.795587709346954]}"
00000000000000000338_9,0.4919039,252.82536,253.1471,0.45946527,0.39024648,0.4449662,0.5224585,0.08068699,0.066761315,0.48330274,0.004423449,Europe,Russia,2.0,0.148,75,0,161356,1.92,,1,SWBD,55.793112,73.884267,30048,0,303.8,16814,7589,1.45,7.13,0.91,11292,653,0.0,3,3.88,237.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.87758408036983,55.795592077242745]}"
