system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Continent,Country,Depth_avg,Dis_avg,Elevation,Grand_id,Hylak_id,Lake_area,Lake_name,Lake_type,Poly_src,Pour_lat,Pour_long,QA_PIXEL,QA_RADSAT,Res_time,SAA,SZA,Shore_dev,Shore_len,Slope_100,VAA,VZA,Vol_res,Vol_src,Vol_total,Wshd_area,.geo
0000000000000000032b_0,0.38190356,241.22437,242.20856,0.33884072,0.25064167,0.24043417,0.38070738,0.056380417,0.052313372,0.27783504,0.0027113638,Europe,Russia,7.2,0.242,41,0,156812,2.12,,1,MODIS,60.038479,68.194792,30048,0,727.3,16527,7525,1.88,9.72,3.88,-6794,653,0.0,3,15.21,50.9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.17680400623779,60.039808352318104]}"
0000000000000000032b_1,0.601843,240.14877,241.02202,0.58198625,0.48732778,0.538126,0.65407664,0.11618991,0.12169239,0.51954514,0.0045455215,Europe,Russia,7.2,0.242,41,0,156812,2.12,,1,MODIS,60.038479,68.194792,30304,0,727.3,16528,7524,1.88,9.72,3.88,-6793,657,0.0,3,15.21,50.9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.18541907852787,60.039861719151205]}"
0000000000000000032b_2,0.58405966,240.13963,240.96391,0.5591789,0.46890643,0.5106934,0.6203441,0.113319054,0.11555195,0.443308,0.004625268,Europe,Russia,7.2,0.242,41,0,156812,2.12,,1,MODIS,60.038479,68.194792,30304,0,727.3,16528,7524,1.88,9.72,3.88,-6793,657,0.0,3,15.21,50.9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.18595752162034,60.039865035938796]}"
0000000000000000032b_3,0.4050299,241.17932,242.137,0.37584287,0.29848924,0.30766004,0.48637083,0.08365355,0.07583844,0.33676735,0.0039872997,Europe,Russia,7.2,0.242,41,0,156812,2.12,,1,MODIS,60.038479,68.194792,30048,0,727.3,16527,7524,1.88,9.72,3.88,-6794,653,0.0,3,15.21,50.9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.17681070892945,60.03953900389056]}"
0000000000000000032b_4,0.4649989,241.22887,242.05104,0.43373847,0.3412331,0.35359374,0.51675403,0.08644466,0.08484974,0.3504039,0.0039872997,Europe,Russia,7.2,0.242,41,0,156812,2.12,,1,MODIS,60.038479,68.194792,30048,0,727.3,16527,7524,1.88,9.72,3.88,-6794,653,0.0,3,15.21,50.9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.17734914561338,60.03954235572796]}"
0000000000000000032b_5,0.5874887,240.07097,240.96877,0.56619656,0.45901793,0.52281475,0.6352566,0.11882153,0.12559994,0.51005536,0.0050239977,Europe,Russia,7.2,0.242,41,0,156812,2.12,,1,MODIS,60.038479,68.194792,30304,0,727.3,16528,7524,1.88,9.72,3.88,-6793,657,0.0,3,15.21,50.9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.1848872725087,60.03958905120216]}"
0000000000000000032b_6,0.61332643,240.10301,240.92516,0.5961013,0.5150794,0.5662763,0.6730562,0.12823156,0.13221885,0.5618903,0.0060606957,Europe,Russia,7.2,0.242,41,0,156812,2.12,,1,MODIS,60.038479,68.194792,30304,0,727.3,16528,7524,1.88,9.72,3.88,-6793,657,0.0,3,15.21,50.9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.18542571109222,60.03959237014676]}"
0000000000000000032b_7,0.6238529,240.07097,240.89124,0.6102163,0.5155578,0.58597356,0.6984154,0.13022521,0.13947575,0.5744104,0.0038278077,Europe,Russia,7.2,0.242,41,0,156812,2.12,,1,MODIS,60.038479,68.194792,30304,0,727.3,16528,7524,1.88,9.72,3.88,-6793,657,0.0,3,15.21,50.9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.18596414980169,60.03959568689849]}"
0000000000000000032b_8,0.6319073,239.99765,240.86699,0.6207428,0.53876394,0.60662776,0.7244924,0.14051244,0.14378203,0.60925937,0.004944252,Europe,Russia,7.2,0.242,41,0,156812,2.12,,1,MODIS,60.038479,68.194792,30304,0,727.3,16528,7524,1.88,9.72,3.88,-6793,658,0.0,3,15.21,50.9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.18650258863707,60.039599001457354]}"
0000000000000000032b_9,0.66436386,239.93344,240.85728,0.6581437,0.5630067,0.64339066,0.75758696,0.14154914,0.15079968,0.611572,0.0055024736,Europe,Russia,7.2,0.242,41,0,156812,2.12,,1,MODIS,60.038479,68.194792,30304,0,727.3,16528,7524,1.88,9.72,3.88,-6793,658,0.0,3,15.21,50.9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.18704102759824,60.03960231382336]}"
