system:index,B1,B2,B3,B4,B5,B6,B7,Continent,Country,Depth_avg,Dis_avg,Elevation,Grand_id,Hylak_id,Lake_area,Lake_name,Lake_type,Poly_src,Pour_lat,Pour_long,QA_PIXEL,QA_RADSAT,Res_time,SAA,SZA,Shore_dev,Shore_len,Slope_100,VAA,VZA,Vol_res,Vol_src,Vol_total,Wshd_area,.geo
00000000000000000318_0,0.4394157,0.44000286,0.43632174,0.38262567,0.037472848,272.38654,0.02880615,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,0,56.3,15389,4611,1.23,4.63,0.63,-7061,574,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82584177828052,63.75233455928092]}"
00000000000000000318_1,0.465262,0.5326035,0.5545311,0.5137758,0.05361823,272.38654,0.02880615,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,1,56.3,15389,4611,1.23,4.63,0.63,-7060,574,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82644968389299,63.75233107765652]}"
00000000000000000318_2,0.4338772,0.41685268,0.41005298,0.32301196,0.026709262,272.38654,0.021335486,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,0,56.3,15389,4611,1.23,4.63,0.63,-7061,574,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82583391913292,63.75206535729321]}"
00000000000000000318_3,0.465262,0.50173664,0.5052772,0.4183939,0.04285464,272.38654,0.021335486,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,1,56.3,15389,4611,1.23,4.63,0.63,-7060,574,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82644181896184,63.75206187570986]}"
00000000000000000318_4,0.465262,0.48244482,0.47900847,0.37865144,0.03478195,272.38654,0.025070818,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,1,56.3,15389,4611,1.23,4.63,0.63,-7060,575,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82704971862286,63.752058391564944]}"
00000000000000000318_5,0.465262,0.47086975,0.4625905,0.34685746,0.032091055,272.38654,0.021335486,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,1,56.3,15389,4611,1.23,4.63,0.63,-7060,575,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82765761811585,63.75205490485844]}"
00000000000000000318_6,0.42464638,0.41299433,0.4067694,0.32301196,0.029400159,272.38654,0.017600155,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,0,56.3,15389,4611,1.23,4.63,0.63,-7060,575,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.8282655174407,63.75205141559036]}"
00000000000000000318_7,0.41910788,0.40913597,0.4166202,0.3428832,0.026709262,272.38654,0.013864823,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,0,56.3,15389,4610,1.23,4.63,0.63,-7060,575,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82887341659728,63.75204792376068]}"
00000000000000000318_8,0.41726172,0.40913597,0.41333658,0.32301196,0.024018366,272.38654,0.021335486,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,0,56.3,15389,4610,1.23,4.63,0.63,-7060,576,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82948131558545,63.752044429369434]}"
00000000000000000318_9,0.45233884,0.46701136,0.46915767,0.3667287,0.026709262,272.38654,0.017600155,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,1,56.3,15389,4610,1.23,4.63,0.63,-7060,576,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.83008921440509,63.752040932416605]}"
00000000000000000318_10,0.45049268,0.42071104,0.41005298,0.31108922,0.029400159,272.38654,0.021335486,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,0,56.3,15389,4611,1.23,4.63,0.63,-7061,574,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82582606015309,63.75179615529484]}"
00000000000000000318_11,0.465262,0.4554363,0.44288892,0.32698622,0.04285464,272.38654,0.02880615,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,1,56.3,15389,4611,1.23,4.63,0.63,-7060,575,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.8264339541986,63.75179267375256]}"
00000000000000000318_12,0.465262,0.463153,0.44945613,0.32698622,0.029400159,272.38654,0.021335486,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,1,56.3,15389,4611,1.23,4.63,0.63,-7060,575,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.8270418480762,63.75178918964873]}"
00000000000000000318_13,0.465262,0.4747281,0.45273972,0.31506348,0.029400159,272.38654,0.017600155,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,1,56.3,15389,4610,1.23,4.63,0.63,-7060,575,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82764974178578,63.75178570298336]}"
00000000000000000318_14,0.4597235,0.45157793,0.43303815,0.29916647,0.024018366,272.38654,0.010129491,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,1,56.3,15389,4610,1.23,4.63,0.63,-7060,575,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82825763532722,63.75178221375642]}"
00000000000000000318_15,0.41172323,0.41685268,0.41333658,0.27929524,0.02132747,272.38654,0.013864823,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,0,56.3,15389,4610,1.23,4.63,0.63,-7060,576,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82886552870038,63.75177872196794]}"
00000000000000000318_16,0.37664607,0.366694,0.37393346,0.2673725,0.02132747,272.38654,0.013864823,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,0,56.3,15389,4610,1.23,4.63,0.63,-7060,576,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82947342190515,63.75177522761791]}"
00000000000000000318_17,0.4135694,0.42071104,0.41005298,0.29121798,0.026709262,272.38654,0.017600155,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,0,56.3,15389,4610,1.23,4.63,0.63,-7060,576,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.83008131494142,63.75177173070633]}"
00000000000000000318_18,0.465262,0.49016154,0.48557565,0.39057416,0.032091055,272.38654,0.021335486,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,1,56.3,15389,4610,1.23,4.63,0.63,-7060,576,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.83068920780904,63.75176823123321]}"
00000000000000000318_19,0.44864652,0.44000286,0.42975456,0.30314073,0.024018366,272.38654,0.017600155,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,1,56.3,15389,4610,1.23,4.63,0.63,-7060,577,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.8312971005079,63.75176472919853]}"
00000000000000000318_20,0.4338772,0.4361445,0.4166202,0.27929524,0.032091055,272.38654,0.021335486,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,0,56.3,15389,4610,1.23,4.63,0.63,-7060,577,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.83190499303788,63.751761224602305]}"
00000000000000000318_21,0.465262,0.47858647,0.4593069,0.34685746,0.032091055,272.38654,0.021335486,Europe,Russia,1.3,0.295,51,0,148459,1.12,,1,MODIS,63.747889,75.839564,13600,1,56.3,15389,4610,1.23,4.63,0.63,-7060,577,0.0,3,1.43,32.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.83251288539884,63.751757717444555]}"
