system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Continent,Country,Depth_avg,Dis_avg,Elevation,Grand_id,Hylak_id,Lake_area,Lake_name,Lake_type,Poly_src,Pour_lat,Pour_long,QA_PIXEL,QA_RADSAT,Res_time,SAA,SZA,Shore_dev,Shore_len,Slope_100,VAA,VZA,Vol_res,Vol_src,Vol_total,Wshd_area,.geo
0000000000000000031c_0,0.7009755,271.4996,271.05307,0.71232307,0.6754435,0.7067078,0.63218814,0.038546633,0.034159686,0.6806201,9.943744E-4,Europe,Russia,5.5,0.021,51,0,149023,2.17,,1,MODIS,63.609452,76.542708,30048,0,6565.3,16701,4759,1.52,7.96,2.8,12911,241,0.0,3,11.91,2.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.55573464632539,63.612738892686615]}"
0000000000000000031c_1,0.69881123,271.53342,271.06354,0.7099541,0.67462456,0.70591813,0.64783496,0.03664562,0.034159686,0.68237484,0.0012575912,Europe,Russia,5.5,0.021,51,0,149023,2.17,,1,MODIS,63.609452,76.542708,30048,0,6565.3,16701,4759,1.52,7.96,2.8,12913,241,0.0,3,11.91,2.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5563394084711,63.61273234343006]}"
0000000000000000031c_2,0.683106,271.3334,270.882,0.6853579,0.6505841,0.69515544,0.6351713,0.033633254,0.028778365,0.6640959,0.0017255321,Europe,Russia,5.5,0.021,51,0,149023,2.17,,1,MODIS,63.609452,76.542708,30048,0,6565.3,16701,4759,1.52,7.96,2.8,12899,242,0.0,3,11.91,2.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.55209138767518,63.61250899837617]}"
0000000000000000031c_3,0.68474376,271.37958,270.868,0.6929327,0.6764086,0.7135514,0.6553805,0.043284535,0.036762606,0.6869373,0.001520808,Europe,Russia,5.5,0.021,51,0,149023,2.17,,1,MODIS,63.609452,76.542708,30048,0,6565.3,16701,4759,1.52,7.96,2.8,12901,242,0.0,3,11.91,2.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.55269614598026,63.6125024644629]}"
0000000000000000031c_4,0.706737,271.41653,270.86102,0.7297246,0.68927693,0.728584,0.7061521,0.04758374,0.042728852,0.7128495,0.001052867,Europe,Russia,5.5,0.021,51,0,149023,2.17,,1,MODIS,63.609452,76.542708,30048,0,6565.3,16701,4759,1.52,7.96,2.8,12903,242,0.0,3,11.91,2.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.55330090397345,63.61249592800523]}"
0000000000000000031c_5,0.7271802,271.41962,270.868,0.74741864,0.70322746,0.7448449,0.7340238,0.05448587,0.05059611,0.7229102,0.0015500543,Europe,Russia,5.5,0.021,51,0,149023,2.17,,1,MODIS,63.609452,76.542708,30048,0,6565.3,16701,4759,1.52,7.96,2.8,12905,241,0.0,3,11.91,2.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.55390566165458,63.612489389003166]}"
0000000000000000031c_6,0.7272679,271.41037,270.89597,0.7438213,0.70735115,0.7461318,0.706854,0.052555613,0.052701846,0.7131712,0.0012575912,Europe,Russia,5.5,0.021,51,0,149023,2.17,,1,MODIS,63.609452,76.542708,30048,0,6565.3,16701,4759,1.52,7.96,2.8,12907,241,0.0,3,11.91,2.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.55451041902356,63.612482847456725]}"
0000000000000000031c_7,0.7155694,271.4073,270.94138,0.72864246,0.69173366,0.7291397,0.66900927,0.044220414,0.04094483,0.69641304,0.0012283449,Europe,Russia,5.5,0.021,51,0,149023,2.17,,1,MODIS,63.609452,76.542708,30048,0,6565.3,16701,4759,1.52,7.96,2.8,12909,241,0.0,3,11.91,2.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.55511517608025,63.61247630336588]}"
0000000000000000031c_8,0.7030227,271.43192,271.00073,0.7166515,0.68225783,0.7182016,0.65192944,0.040798597,0.03608994,0.69176286,0.0013160838,Europe,Russia,5.5,0.021,51,0,149023,2.17,,1,MODIS,63.609452,76.542708,30048,0,6565.3,16701,4759,1.52,7.96,2.8,12911,241,0.0,3,11.91,2.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.55571993282453,63.612469756730654]}"
0000000000000000031c_9,0.7012387,271.46884,271.04956,0.71472126,0.6762624,0.71194285,0.65263134,0.041120306,0.034247424,0.6904468,8.481429E-4,Europe,Russia,5.5,0.021,51,0,149023,2.17,,1,MODIS,63.609452,76.542708,30048,0,6565.3,16701,4759,1.52,7.96,2.8,12914,241,0.0,3,11.91,2.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.55632468925629,63.61246320755103]}"
