system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Continent,Country,Depth_avg,Dis_avg,Elevation,Grand_id,Hylak_id,Lake_area,Lake_name,Lake_type,Poly_src,Pour_lat,Pour_long,QA_PIXEL,QA_RADSAT,Res_time,SAA,SZA,Shore_dev,Shore_len,Slope_100,VAA,VZA,Vol_res,Vol_src,Vol_total,Wshd_area,.geo
00000000000000000389_0,0.14037955,308.15472,306.925,0.123482004,0.11409199,0.09755303,0.22623427,0.12092721,0.06680578,0.105598405,0.0015463264,Asia,Iraq,1.1,0.001,35,0,174903,2.97,,1,SWBD,33.81903,44.3008,21824,0,37747.5,12577,2672,3.25,19.84,0.38,-7335,458,0.0,3,3.26,9.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.28912534580644,33.828519426541995]}"
00000000000000000389_1,0.14185864,307.69318,306.38138,0.12458012,0.11476431,0.09766508,0.24676232,0.123235494,0.06794872,0.107660174,0.0017704316,Asia,Iraq,1.1,0.001,35,0,174903,2.97,,1,SWBD,33.81903,44.3008,21824,0,37747.5,12577,2672,3.25,19.84,0.38,-7335,458,0.0,3,3.26,9.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.28944952950442,33.82852129497116]}"
00000000000000000389_2,0.14275506,307.18134,306.0416,0.1249611,0.11801384,0.09907694,0.301444,0.1558204,0.08184325,0.10734642,0.0013222211,Asia,Iraq,1.1,0.001,35,0,174903,2.97,,1,SWBD,33.81903,44.3008,21824,0,37747.5,12577,2672,3.25,19.84,0.38,-7335,459,0.0,3,3.26,9.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.289773713232265,33.82852316254819]}"
00000000000000000389_3,0.14223962,306.90912,305.88065,0.12413191,0.11783455,0.09793401,0.32535604,0.16243151,0.08370332,0.10911686,0.0018376632,Asia,Iraq,1.1,0.001,35,0,174903,2.97,,1,SWBD,33.81903,44.3008,21824,0,37747.5,12577,2672,3.25,19.84,0.38,-7335,459,0.0,3,3.26,9.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.290097896989984,33.82852502927309]}"
00000000000000000389_4,0.13829537,307.8164,306.1444,0.12029971,0.11066318,0.09282441,0.20929192,0.106718935,0.060710117,0.10015265,0.0015239159,Asia,Iraq,1.1,0.001,35,0,174903,2.97,,1,SWBD,33.81903,44.3008,21824,0,37747.5,12576,2672,3.25,19.84,0.38,-7335,457,0.0,3,3.26,9.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.28750667215583,33.82823951744003]}"
00000000000000000389_5,0.13757823,307.60507,305.97568,0.11976186,0.10615867,0.090314426,0.12753831,0.074895985,0.04759996,0.09551367,0.0013894527,Asia,Iraq,1.1,0.001,35,0,174903,2.97,,1,SWBD,33.81903,44.3008,21824,0,37747.5,12577,2672,3.25,19.84,0.38,-7335,457,0.0,3,3.26,9.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.287830854683264,33.828241390110826]}"
00000000000000000389_6,0.1383626,307.3625,305.94928,0.12092721,0.10996846,0.09230896,0.13699555,0.07523214,0.04751032,0.10169897,0.0012998106,Asia,Iraq,1.1,0.001,35,0,174903,2.97,,1,SWBD,33.81903,44.3008,21824,0,37747.5,12577,2672,3.25,19.84,0.38,-7335,457,0.0,3,3.26,9.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.288155037240635,33.8282432619295]}"
00000000000000000389_7,0.13876599,307.08182,305.79086,0.12209255,0.11335245,0.094998226,0.15494639,0.08858881,0.052754384,0.10275227,0.0014342738,Asia,Iraq,1.1,0.001,35,0,174903,2.97,,1,SWBD,33.81903,44.3008,21824,0,37747.5,12577,2672,3.25,19.84,0.38,-7335,458,0.0,3,3.26,9.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.28847921982794,33.82824513289606]}"
00000000000000000389_8,0.13782474,306.93793,305.75653,0.120882384,0.10983399,0.09336226,0.09161424,0.055779804,0.03946494,0.10093702,0.0017480211,Asia,Iraq,1.1,0.001,35,0,174903,2.97,,1,SWBD,33.81903,44.3008,21952,0,37747.5,12577,2672,3.25,19.84,0.38,-7335,458,0.0,3,3.26,9.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.28880340244515,33.82824700301049]}"
00000000000000000389_9,0.13780233,306.7096,305.63495,0.120075606,0.10718955,0.0955809,0.10355905,0.061763413,0.042333487,0.101452455,0.0014342738,Asia,Iraq,1.1,0.001,35,0,174903,2.97,,1,SWBD,33.81903,44.3008,21824,0,37747.5,12577,2672,3.25,19.84,0.38,-7335,458,0.0,3,3.26,9.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.28912758509227,33.8282488722728]}"
00000000000000000389_10,0.13961759,306.51862,305.4656,0.12148747,0.111223444,0.095961876,0.21157779,0.101631746,0.057998445,0.10378315,0.0014790948,Asia,Iraq,1.1,0.001,35,0,174903,2.97,,1,SWBD,33.81903,44.3008,21824,0,37747.5,12577,2672,3.25,19.84,0.38,-7335,458,0.0,3,3.26,9.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.289451767769265,33.82825074068299]}"
00000000000000000389_11,0.14064847,306.31177,305.23776,0.12231666,0.114853956,0.09455001,0.32367525,0.15933885,0.08126057,0.10411931,0.0012549895,Asia,Iraq,1.1,0.001,35,0,174903,2.97,,1,SWBD,33.81903,44.3008,21824,0,37747.5,12577,2672,3.25,19.84,0.38,-7335,459,0.0,3,3.26,9.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.28977595047613,33.828252608241066]}"
00000000000000000389_12,0.13993134,307.88678,306.7309,0.12229425,0.11086488,0.09230896,0.17170946,0.094146624,0.05481615,0.098314986,0.0014790948,Asia,Iraq,1.1,0.001,35,0,174903,2.97,,1,SWBD,33.81903,44.3008,21824,0,37747.5,12576,2672,3.25,19.84,0.38,-7334,456,0.0,3,3.26,9.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.28653637217699,33.82796334018576]}"
00000000000000000389_13,0.13887803,307.32935,306.1365,0.120904796,0.108915165,0.091278076,0.12608163,0.070324235,0.045829527,0.10024229,0.0013670422,Asia,Iraq,1.1,0.001,35,0,174903,2.97,,1,SWBD,33.81903,44.3008,21824,0,37747.5,12576,2672,3.25,19.84,0.38,-7334,456,0.0,3,3.26,9.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.28686055359355,33.827965215393874]}"
00000000000000000389_14,0.14118633,306.79608,305.38617,0.12328031,0.11142514,0.0949534,0.1081308,0.07234118,0.049370393,0.10584492,0.0014118633,Asia,Iraq,1.1,0.001,35,0,174903,2.97,,1,SWBD,33.81903,44.3008,21824,0,37747.5,12576,2672,3.25,19.84,0.38,-7334,457,0.0,3,3.26,9.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.2871847350401,33.82796708974988]}"
00000000000000000389_15,0.14076053,306.26724,304.83417,0.122652814,0.10777222,0.09262271,0.08567545,0.06389242,0.045739885,0.10335735,0.0014118633,Asia,Iraq,1.1,0.001,35,0,174903,2.97,,1,SWBD,33.81903,44.3008,21952,0,37747.5,12576,2672,3.25,19.84,0.38,-7335,457,0.0,3,3.26,9.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.287508916516614,33.82796896325378]}"
